page_id,primary_keyword,secondary_keywords,page_type,content_format,funnel_stage,combined_volume,traffic_potential,avg_difficulty,priority_score,keyword_count,parent_page,description,coverage,existing_url,gap_reason
p1,asvab practice test,asvab practice,pillar,guide,awareness,87410,78000,29.0,2391.2,2,,"Complete resource on asvab practice test — covers fundamentals, strategies, and advanced techniques",covered,/free-asvab-practice-tests,
p2,asvab scores,asvab calculator; line scores asvab; asvab line scores calculator; military asvab score chart,pillar,guide,awareness,23120,3730,34.8,265.8,5,,"Complete resource on asvab scores — covers fundamentals, strategies, and advanced techniques. Covers asvab calculator and line scores asvab",covered,/asvab-scores-explained,
c2,asvab study guide,,pillar,comparison,consideration,8990,1700,11.0,300.0,1,,"Hub for the 9 ASVAB subtests and how to study each: arithmetic reasoning, math knowledge, word knowledge, paragraph comprehension, general science, electronics info, auto & shop, mechanical comprehension, assembling objects.",covered,/asvab-study-guide,
c1,asvab score chart,asvab line scores; asvab line scores meaning; what are line scores on the asvab,cluster,guide,awareness,4840,0,10.2,318.4,4,p2,Practical guide to asvab score chart with actionable advice and real-world examples. Covers asvab line scores and asvab line scores meaning,covered,/asvab-score-chart,
c3,what is a good asvab score,best asvab score,cluster,guide,awareness,2400,5800,11.5,145.5,2,p2,Practical guide to what is a good asvab score with actionable advice and real-world examples,covered,/what-is-a-good-asvab-score,
c6,is the asvab hard,,cluster,guide,awareness,1700,1300,0.0,340.0,1,p5,Practical guide to is the asvab hard with actionable advice and real-world examples,gap,,"No dedicated page (1,700/mo, KD0) — pure informational, strong quick win"
c5,afqt practice test,afqt test,cluster,guide,awareness,1800,0,12.5,102.9,2,p1,Practical guide to afqt practice test with actionable advice and real-world examples,covered,/full-length-asvab-practice-test,
c7,asvab practice questions,asvab math questions,cluster,guide,awareness,1650,11600,11.5,100.0,2,p1,Practical guide to asvab practice questions with actionable advice and real-world examples,covered,/free-asvab-practice-test,
c8,gt score,gt score asvab,cluster,guide,awareness,1600,0,11.0,100.0,2,p2,Practical guide to gt score with actionable advice and real-world examples,covered,/gt-score,
c9,can you use a calculator on the asvab,,cluster,guide,awareness,1500,1100,6.0,136.4,1,p5,Practical guide to can you use a calculator on the asvab with actionable advice and real-world examples,gap,,"Tools exist but no informational answer page (1,500/mo, KD6)"
c11,asvab tutor,,cluster,comparison,consideration,1400,1900,18.0,60.9,1,p1,"Head-to-head comparison of asvab tutor with pros, cons, and use-case fit — with pricing, features, and recommendations",gap,,"No positioning/alternative page (1,400/mo, KD18) — ""do you need an ASVAB tutor?"""
c12,how many times can you take the asvab,,cluster,guide,awareness,1200,10000,7.0,100.0,1,p5,Practical guide to how many times can you take the asvab with actionable advice and real-world examples,covered,/asvab-retake-policy,
c10,afqt score,,cluster,guide,awareness,1500,0,26.0,48.4,1,p2,Practical guide to afqt score with actionable advice and real-world examples,covered,/afqt-score,
c4,air force asvab score,air force asvab score chart,cluster,guide,awareness,2200,22000,53.5,37.6,2,p4,Practical guide to air force asvab score with actionable advice and real-world examples,covered,/air-force-asvab-score,
c14,asvab arithmetic reasoning,,cluster,guide,awareness,900,1300,1.0,150.0,1,c2,Practical guide to asvab arithmetic reasoning with actionable advice and real-world examples,covered,/asvab-arithmetic-reasoning-tips + /study/ar,
c17,navy asvab score chart,,cluster,guide,awareness,700,0,1.0,116.7,1,p4,Practical guide to navy asvab score chart with actionable advice and real-world examples,covered,/navy-asvab-score,
